"timestamp CLC";"x CLC";"y CLC";"id CLC";"timestamp MVT";"x MVT";"y MVT";"timestamp TOC";"id TOC";
;;;;"15655839";"204";"476";;;
;;;;"15655839";"230";"457";;;
;;;;"15655870";"236";"451";;;
;;;;"15655885";"257";"430";;;
;;;;"15655901";"277";"404";;;
;;;;"15655917";"284";"397";;;
;;;;"15655932";"293";"382";;;
;;;;;;;"15656244";"s";
;;;;;;;"15656291";"f";
;;;;;;;"15656431";"s";
;;;;;;;"15656525";"f";
;;;;"15657258";"297";"374";;;
;;;;"15657274";"306";"369";;;
;;;;"15657289";"317";"362";;;
;;;;"15657305";"321";"359";;;
;;;;"15657336";"331";"349";;;
;;;;"15657352";"340";"338";;;
;;;;"15657367";"349";"329";;;
;;;;"15657383";"353";"326";;;
;;;;"15657399";"363";"317";;;
;;;;"15657414";"380";"309";;;
;;;;"15657430";"387";"306";;;
;;;;"15657445";"404";"304";;;
;;;;"15657461";"423";"306";;;
;;;;"15657492";"438";"312";;;
;;;;"15657508";"442";"314";;;
;;;;"15657523";"450";"318";;;
;;;;"15657539";"453";"320";;;
;;;;"15657555";"454";"320";;;
;;;;"15657633";"454";"321";;;
;;;;;;;"15658225";"b";
;;;;;;;"15658335";"o";
;;;;;;;"15658459";"n";
;;;;;;;"15658647";"j";
;;;;;;;"15658834";"o";
;;;;;;;"15658990";"u";
;;;;;;;"15659083";"r";
;;;;"15660051";"456";"323";;;
;;;;"15660066";"456";"326";;;
;;;;"15660082";"457";"330";;;
;;;;"15660097";"464";"358";;;
;;;;"15660113";"478";"403";;;
;;;;"15660129";"490";"439";;;
;;;;"15660144";"496";"451";;;
;;;;"15660160";"510";"478";;;
;;;;"15660175";"527";"508";;;
;;;;"15660207";"542";"533";;;
;;;;"15660222";"546";"539";;;
;;;;"15660238";"552";"549";;;
;;;;"15660253";"558";"558";;;
;;;;"15660269";"565";"565";;;
;;;;"15660285";"569";"570";;;
;;;;"15660300";"577";"579";;;
;;;;"15660331";"586";"589";;;
;;;;"15660347";"594";"600";;;
;;;;"15660363";"597";"603";;;
;;;;;;;"15661595";"j";
;;;;;;;"15661720";"e";
;;;;;;;"15661813";"ESPACE";
;;;;;;;"15662016";"v";
;;;;;;;"15662125";"a";
;;;;;;;"15662266";"i";
;;;;;;;"15662359";"s";
;;;;;;;"15662500";"ESPACE";
;;;;"15663405";"603";"610";;;
;;;;"15663420";"601";"635";;;
;;;;"15663436";"601";"715";;;
;;;;"15663451";"618";"795";;;
;;;;"15663467";"626";"820";;;
;;;;"15663483";"658";"883";;;
;;;;"15663498";"690";"943";;;
;;;;"15663529";"717";"994";;;
;;;;"15663545";"724";"1006";;;
;;;;"15663561";"738";"1035";;;
